,synthetic_log,fitness,hellinger_distance_event_distribution,earth_mover_distance_length_distribution,earth_mover_distance_trace_variant
0,real,0.9618234754293532,0.0,0.0,0.0
1,no_petri_net_run1,0.7753768000186396,0.1149769668244796,1.8952380952381,0.0149207253968209
2,no_petri_net_run2,0.777555008457472,0.1133985927656872,1.9961904761904807,0.0266666876190542
3,no_petri_net_run3,0.7793304740789027,0.1114420558335608,2.1552380952381043,0.0155556374603152
4,no_petri_net_run4,0.7829009259544604,0.1134141543454377,2.174285714285719,0.0142858142857142
5,no_petri_net_run5,0.7821952666711389,0.1126410159192129,2.288571428571436,0.0161905561904761
6,transition_list_run1,0.8715252644915864,0.1030098841903889,2.7561904761904743,0.0250793726984038
7,transition_list_run2,0.8697110567918965,0.1025910800224079,2.730476190476185,0.0117460879365123
8,transition_list_run3,0.8710505711883494,0.0991052835945435,2.861904761904764,0.0250793726984038
9,transition_list_run4,0.8698687076010325,0.0990504896707867,2.8695238095238054,0.011428632380959
10,transition_list_run5,0.8703231205040123,0.1028117416839251,2.704761904761907,0.0250793726984038
11,petrinet_playout_run1,1.0,0.0794943221489659,3.6133333333333337,0.0302379009523809
12,petrinet_playout_run2,1.0,0.0829678046337124,3.725714285714286,0.0963815314285716
13,petrinet_playout_run3,1.0,0.0807769283061804,3.56380952380952,0.0302379009523809
14,petrinet_playout_run4,1.0,0.0797059713568786,3.597142857142853,0.1097137447619049
15,petrinet_playout_run5,1.0,0.0819508074745217,3.619047619047616,0.0158730339682561
