synthetic_log,fitness,hellinger_event_distribution,earth_mover_distance_length_distribution,earth_mover_distance_trace_variant
real,0.915399403542503,0.0,0.0,0.0
no_petri_net_run1,0.91601990049753,0.08817312453383318,0.179982,0.0465254485688892
no_petri_net_run2,0.9177287930097598,0.0900874490574315,0.1467950000000009,0.04023481523555576
no_petri_net_run3,0.917072724612249,0.08641263336592674,0.158999,0.04216430412444485
no_petri_net_run4,0.9180946109787378,0.09019187698658418,0.1409130000000009,0.03975368190222243
no_petri_net_run5,0.917472929470312,0.08714041359904616,0.15434387883599998,0.041309548568888896
transition_list_run1,0.9907960199004939,0.2870908140638161,0.798679,0.16641753414933366
transition_list_run2,0.9912935323383043,0.2869370596476602,0.793416,0.16488800081600033
transition_list_run3,0.9910111208662525,0.28747349878247064,0.80123,0.16705351748266672
transition_list_run4,0.9903219198126962,0.2879862901367183,0.7930660000000009,0.16558090081600005
transition_list_run5,0.9910579455662812,0.2862540839410721,0.800089,0.166995567482667
petrinet_playout_run1,1.0,0.2918908980454786,0.755664,0.1665887055555556
petrinet_playout_run2,1.0,0.29230434210685696,0.7640032704149999,0.16834776748266692
petrinet_playout_run3,1.0,0.291721807587478,0.756628,0.16603670081600022
petrinet_playout_run4,1.0,0.2904350373204674,0.759789,0.16738146748266672
petrinet_playout_run5,1.0,0.2920539188864163,0.75022,0.1660286341493337
