trace_length,count,log
4,1,outputs/Sepsis/evaluation/Sepsis_log_1050_run-1_simulation.xes
5,5,outputs/Sepsis/evaluation/Sepsis_log_1050_run-1_simulation.xes
6,10,outputs/Sepsis/evaluation/Sepsis_log_1050_run-1_simulation.xes
7,11,outputs/Sepsis/evaluation/Sepsis_log_1050_run-1_simulation.xes
8,20,outputs/Sepsis/evaluation/Sepsis_log_1050_run-1_simulation.xes
9,33,outputs/Sepsis/evaluation/Sepsis_log_1050_run-1_simulation.xes
10,67,outputs/Sepsis/evaluation/Sepsis_log_1050_run-1_simulation.xes
11,125,outputs/Sepsis/evaluation/Sepsis_log_1050_run-1_simulation.xes
12,170,outputs/Sepsis/evaluation/Sepsis_log_1050_run-1_simulation.xes
13,169,outputs/Sepsis/evaluation/Sepsis_log_1050_run-1_simulation.xes
14,160,outputs/Sepsis/evaluation/Sepsis_log_1050_run-1_simulation.xes
15,107,outputs/Sepsis/evaluation/Sepsis_log_1050_run-1_simulation.xes
16,88,outputs/Sepsis/evaluation/Sepsis_log_1050_run-1_simulation.xes
17,49,outputs/Sepsis/evaluation/Sepsis_log_1050_run-1_simulation.xes
18,28,outputs/Sepsis/evaluation/Sepsis_log_1050_run-1_simulation.xes
19,4,outputs/Sepsis/evaluation/Sepsis_log_1050_run-1_simulation.xes
20,2,outputs/Sepsis/evaluation/Sepsis_log_1050_run-1_simulation.xes
21,1,outputs/Sepsis/evaluation/Sepsis_log_1050_run-1_simulation.xes
5,1,outputs/Sepsis/evaluation/Sepsis_log_1050_run-2_simulation.xes
6,10,outputs/Sepsis/evaluation/Sepsis_log_1050_run-2_simulation.xes
7,10,outputs/Sepsis/evaluation/Sepsis_log_1050_run-2_simulation.xes
8,16,outputs/Sepsis/evaluation/Sepsis_log_1050_run-2_simulation.xes
9,49,outputs/Sepsis/evaluation/Sepsis_log_1050_run-2_simulation.xes
10,87,outputs/Sepsis/evaluation/Sepsis_log_1050_run-2_simulation.xes
11,129,outputs/Sepsis/evaluation/Sepsis_log_1050_run-2_simulation.xes
12,146,outputs/Sepsis/evaluation/Sepsis_log_1050_run-2_simulation.xes
