,,,0
ER Registration,Leucocytes,CRP,0.0009523809523809524
ER Registration,ER Triage,CRP,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0019047619047619048
ER Registration,ER Triage,ER Sepsis Triage,0.0038095238095238095
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.03333333333333333
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.02095238095238095
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,Leucocytes,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.006666666666666667
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0019047619047619048
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,CRP,0.002857142857142857
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,Leucocytes,0.0009523809523809524
IV Liquid,ER Registration,ER Triage,0.0009523809523809524
ER Registration,ER Sepsis Triage,IV Antibiotics,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.022857142857142857
ER Registration,ER Triage,ER Sepsis Triage,0.0019047619047619048
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.010476190476190476
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.012380952380952381
ER Registration,ER Triage,ER Sepsis Triage,0.0038095238095238095
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.008571428571428572
ER Registration,ER Triage,ER Sepsis Triage,0.0019047619047619048
ER Registration,Leucocytes,LacticAcid,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,Leucocytes,CRP,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,LacticAcid,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,CRP,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0019047619047619048
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.004761904761904762
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0019047619047619048
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Triage,ER Registration,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0019047619047619048
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0019047619047619048
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,IV Liquid,ER Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
IV Liquid,ER Registration,ER Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0019047619047619048
CRP,Leucocytes,ER Registration,0.0009523809523809524
ER Registration,LacticAcid,CRP,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,IV Liquid,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0019047619047619048
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,Leucocytes,0.0009523809523809524
ER Registration,LacticAcid,Leucocytes,0.0009523809523809524
ER Sepsis Triage,ER Registration,ER Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,CRP,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,CRP,Leucocytes,0.0009523809523809524
ER Registration,Leucocytes,LacticAcid,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
ER Registration,ER Triage,CRP,0.0009523809523809524
ER Registration,ER Triage,ER Sepsis Triage,0.0009523809523809524
